Distance,Lat,Lon,Owner,AddressName
"9.311388794001985","-41.45750600","-72.89900300","Municipalidad de Puerto Montt","Calle Laguna de Huasco con Pasaje Lago Maihue"
"9.851711195294866","-41.47352290","-72.91176310","Municipalidad de Puerto Montt","Calle Lago Villarrica con Merino Benitez"
"9.961542251524643","-41.45786620","-72.90754030","Municipalidad de Puerto Montt","Valle Volcanes"
"10.058661294687536","-41.46793600","-72.91277610","Municipalidad de Puerto Montt","Valle Volcanes"
"10.30816190180335","-41.46128400","-72.91346550","Municipalidad de Puerto Montt","Valle Volcanes"
"10.34255248737628","-41.45658870","-72.91178500","Municipalidad de Puerto Montt","Valle Volcanes"
"10.363320418572648","-41.46607910","-72.91593770","Municipalidad de Puerto Montt","Calle Bremen"
"10.462645234538044","-41.45047870","-72.91003810","Municipalidad de Puerto Montt","Calle Lago Cucao"
"10.523336244397788","-41.46515450","-72.91760650","Municipalidad de Puerto Montt","Calle Llanquihue con Pedro Aguirre Cerda"
"10.566908038596608","-41.46267720","-72.91725510","Municipalidad de Puerto Montt","Calle Galvarino Vera"
"10.570045451005974","-41.45530920","-72.91406340","Municipalidad de Puerto Montt","Volcan Lascar"
"10.593544167590931","-41.46172470","-72.91722010","Municipalidad de Puerto Montt","Calle Galvarino Vera"
"10.829641829671386","-41.46422190","-72.92108190","Municipalidad de Puerto Montt","Calle Lautaro frente iglesia La Colina"
"10.856433011321778","-41.46092160","-72.92019310","Municipalidad de Puerto Montt","Calle Artemio Mancilla"
"10.970832914070183","-41.46844900","-72.92414190","Municipalidad de Puerto Montt","Calle Regimiento con Palena"
"10.989798108604896","-41.46297670","-72.92263100","Municipalidad de Puerto Montt","Calle Pasaje Rebolledo"
"11.181740405066357","-41.46987370","-72.92710270","Municipalidad de Puerto Montt","Calle Serrano Pasaje Libertad 1"
"11.413411431545743","-41.46129180","-72.92728700","Municipalidad de Puerto Montt","Calle Dalcahue con Lin Lin"
"11.467704063378328","-41.45836920","-72.92682740","Municipalidad de Puerto Montt","Calle Icalma con Los Canarios"
"12.015329237896083","-41.42242550","-72.90921860","Municipalidad de Puerto Montt","Avda. Los Colonos"
"12.02780216048394","-41.42224260","-72.90921860","Municipalidad de Puerto Montt","Los Fundadores con Avda. Los Colonos"
"12.778202574990383","-41.46860060","-72.94627170","Municipalidad de Puerto Montt","Calle Balmaceda con Calle Alcalde"
"12.815301564674083","-41.45785660","-72.94347370","Municipalidad de Puerto Montt","Septimo de Linea con Francisco Pizarro"
"13.441792993050507","-41.46920910","-72.95448900","Municipalidad de Puerto Montt","22 de Mayo con Calle Uruguay"
"13.631629020669914","-41.46493150","-72.95577400","Municipalidad de Puerto Montt","La Colina (esc. La Colina)"
"13.666812781469462","-41.47336420","-72.95801850","Municipalidad de Puerto Montt","Calle Los Maquis"
"13.864143277955598","-41.47044550","-72.95987580","Municipalidad de Puerto Montt","Calle San Diego con Calle Cochrane"
"14.071421790946701","-41.45337800","-72.95744500","Municipalidad de Puerto Montt","Pasaje Maestranza Cernoch"
"14.125796997253842","-41.48055060","-72.96446080","Municipalidad de Puerto Montt","Sierra Nevada"
"14.221603632127112","-41.39887870","-72.91683990","Municipalidad de Puerto Montt","Avda. Los Alerces"
"15.737570363019614","-41.47854000","-72.98367000","Municipalidad de Puerto Montt","Malvina Lazo con Puerto Natales"
"15.89049827339078","-41.47680000","-72.98533000","Municipalidad de Puerto Montt","Calle Maximiliano Uribe"
"17.249101771487542","-41.48565200","-73.00226600","Municipalidad de Puerto Montt","Calle Bosque Amarillo"
"24.364556365402315","-41.32162800","-72.98442000","Municipalidad de Puerto Varas","CALLE SANTA ROSA  S\/N (POSTERIOR GIMNACIO FICFAL)"
"30.089387939699375","-41.32531100","-73.08293600","Municipalidad de Puerto Varas","CALLE OTTO KLEIN DORNER"
"35.2782104969531","-41.80043520","-72.71713790","Municipalidad de Hualaihue","Sector Contao"
"38.97666150516905","-41.48439000","-72.32733400","Municipalidad de Puerto Varas","SECTOR CALETA ROLLIZO"
"41.69924065464389","-41.76496400","-73.13431720","Municipalidad de Calbuco","O'higgins (caseta ESSAL)"
